,Name,Time,Time_Range,ID,URL,Ingredients,steps,Tokens
0,Seeded Pecan Granola,75.0,0.0,1017997,http://cooking.nytimes.com/recipes/1017997-seeded-pecan-granola,"['pecans', 'maple syrup', 'rolled oats', 'pepitas', 'sunflower seeds', 'sugar', 'cinnamon', 'nutmeg', 'ginger', 'coconut oil', 'sea salt', 'salt']","Heat oven to 375 degrees (or 350 degrees if you are using convection). Line rimmed baking sheet with parchment paper. In a small mixing bowl, toss pecans with 14 cup maple syrup. Set aside. In a separate medium-size bowl, combine oats, pepitas, sunflower seeds, sugar, salt, cinnamon, nutmeg, ginger and oil with the remaining 1/4 cup plus 2 tablespoons maple syrup. Spread oat mixture on the prepared baking sheet. Bake for 7 to 10 minutes or until the edges are just starting to turn golden. Remove pan from oven and use a fork to gently rake the edges in toward the center and the center out toward the edges. Return to oven and bake for 7 to 10 more minutes or until edges are golden, then repeat raking process. Sprinkle the maple-coated pecans over the top of the granola and bake for a final 7 to 10 minutes, or until the granola is evenly golden. Remove pan from oven, rake once more, and let cool completely. Store airtight at room temperature for up to 2 weeks. ","['rim', 'bake', 'remain', 'start', 'turn', 'remov', 'use', 'rake', 'return', 'oven', 'bake', 'repeat', 'rake', 'sprinkl', 'remov', 'rake', 'let', 'nutmeg', 'coconut', 'oil', 'ginger', 'salt', 'mapl', 'pepita', 'oat', 'pecan', 'cinnamon', 'sea', 'seed', 'sunflow', 'sugar', 'syrup', 'roll']"
1,Creamy Homemade Yogurt,0.0,0.0,1017991,http://cooking.nytimes.com/recipes/1017991-creamy-homemade-yogurt,"['milk', 'heavy cream', 'yogurt', 'milk yogurt', 'whole milk']","Rub an ice cube over the inside bottom of a heavy pot to prevent scorching (or rinse the inside of the pot with cold water). Add milk and cream, if using, and bring to a bare simmer, until bubbles form around the edges, 190 to 200 degrees. Stir the milk occasionally as it heats. Remove pot from heat and let cool until it feels pleasantly warm when you stick your pinkie in the milk for 10 seconds, 110 to 115 degrees. (If you think youll need to use the pot for something else, transfer the milk to a glass or ceramic bowl, or else you can let it sit in the pot.) If youre in a hurry, you can fill your sink with ice water and let the pot of milk cool in the ice bath, stirring the milk frequently so it cools evenly. Transfer 1/2 cup of warm milk to a small bowl and whisk in yogurt until smooth. Stir yogurt-milk mixture back into remaining pot of warm milk. Cover pot with a large lid. Keep pot warm by wrapping it in a large towel, or setting it on a heating pad, or moving to a warm place, such as your oven with the oven light turned on. Or just set it on top of your refrigerator, which tends to be both warm and out of the way. Let yogurt sit for 6 to 12 hours, until the yogurt is thick and tangy; the longer it sits, the thicker and tangier it will become. (I usually let it sit for the full 12 hours.) Transfer the pot to the refrigerator and chill for at least another 4 hours; it will continue to thicken as it chills. ","['prevent', 'use', 'bring', 'form', 'stir', 'heat', 'remov', 'let', 'feel', 'stick', 'fill', 'let', 'stir', 'cool', 'transfer', 'remain', 'wrap', 'set', 'move', 'turn', 'set', 'tend', 'let', 'sit', 'sit', 'becom', 'transfer', 'continu', 'thicken', 'chill', 'heavi', 'yogurt', 'whole', 'milk', 'cream']"
2,Springtime Spaghetti Carbonara,20.0,0.0,1017998,http://cooking.nytimes.com/recipes/1017998-springtime-spaghetti-carbonara,"['bacon', 'english peas', 'spaghetti', 'asparagus', 'basil', 'eggs', 'whole milk', 'parmesan cheese', 'round', 'salt', 'kosher salt', 'black pepper', 'pepper']","Heat a saut pan over medium heat and add the bacon, cooking for about 5 minutes, until crispy. Transfer the cooked bacon with a slotted spoon to a paper towel and set aside. Return the pan with the rendered fat to the stove top for future use. Bring a pot of salted water to a boil. Drop the peas into the water and cook them for 5 minutes. Transfer them to a strainer with a slotted spoon or a spider basket. Add the pasta to the boiling water and cook for 10 minutes, or until al dente. While the pasta cooks, heat the bacon fat in the saut pan over medium heat. Add the peas and asparagus, and saut for about 5 minutes. Remove from the heat, stir in the basil, and set aside. Whisk together the eggs and milk. Have the egg mixture, vegetables and bacon ready to toss with very hot pasta. Quickly drain the pasta and transfer immediately to a large serving bowl. Pour the eggs and cheese on top of the pasta, and toss vigorously to coat the strands and gently cook the eggs, forming a creamy sauce. Add the vegetables and bacon, and continue tossing to incorporate them. Season with salt and pepper to taste. Portion the spaghetti on plates and ladle any sauce left in the bowl over each serving. Grate additional cheese on top if you like. ","['add', 'cook', 'transfer', 'set', 'return', 'bring', 'drop', 'cook', 'transfer', 'add', 'heat', 'add', 'remov', 'set', 'whisk', 'have', 'bacon', 'toss', 'drain', 'transfer', 'serv', 'pour', 'coat', 'cook', 'form', 'add', 'continu', 'toss', 'incorpor', 'ladl', 'left', 'serv', 'like', 'pepper', 'egg', 'parmesan', 'bacon', 'salt', 'asparagu', 'milk', 'kosher', 'chees', 'black', 'whole', 'english', 'basil', 'spaghetti', 'pea', 'round']"
3,Roasted Tomato-Coconut Sauce,15.0,0.0,1017943,http://cooking.nytimes.com/recipes/1017943-roasted-tomato-coconut-sauce,"['tomato oil', 'onions', 'garlic', 'ginger', 'lemon', 'tomatoes', 'coconut milk', 'salt', 'pepper flakes', 'red pepper', 'pepper']","In a medium pot, heat the oil over medium-high heat. Add onion, garlic and ginger and cook, stirring, until the onions are translucent, about 3 minutes. Stir in red pepper flakes and lemon zest, then add tomatoes and coconut milk. Reduce heat to low and cook until mixture just begins to simmer. Immediately remove from heat and season with lemon juice and salt to taste. Serve over fish, tofu or rice. (If youre cooking tofu, press it between two plates for a half-hour first to get the water out.) ","['heat', 'stir', 'add', 'begin', 'simmer', 'remov', 'tomato', 'coconut', 'oil', 'lemon', 'onion', 'pepper', 'ginger', 'garlic', 'flake', 'salt', 'milk', 'red']"
4,Winter Citrus Salad With Belgian Endive,15.0,0.0,1017968,http://cooking.nytimes.com/recipes/1017968-winter-citrus-salad-with-belgian-endive,"['blood orange', 'grapefruit', 'shallot', 'belgian endives', 'orange', 'navel orange', 'wine', 'red wine', 'vinegar', 'wine vinegar', 'salt', 'pepper', 'sea salt', 'olive oil', 'gin', 'olive', 'oil']","Peel the citrus: With a serrated knife, cut off top and bottom of the fruit, so it sits solidly on the cutting board. Cut top to bottom following fruits curve to remove peel and white pith. Slice the oranges and grapefruit horizontally into 1/8-inch rounds and place them in a bowl. Save the accumulated juice in the bowl for the vinaigrette. Make the vinaigrette: Combine the shallots with red wine vinegar in a small bowl. Let stand for 10 minutes, then whisk in the olive oil and 2 tablespoons of the reserved citrus juice. Season with salt and pepper to taste. Slice the endives crosswise into 1-inch thick ribbons (but slice the dense core thinner) and place in the center of a salad plate. Surround the endive with citrus slices. Drizzle the vinaigrette over the salad and sprinkle lightly with coarse sea salt. ","['peel', 'cut', 'sit', 'cut', 'bottom', 'follow', 'curv', 'remov', 'place', 'save', 'make', 'combin', 'let', 'stand', 'reserv', 'crosswis', 'drizzl', 'sprinkl', 'vinegar', 'pepper', 'oil', 'endiv', 'shallot', 'navel', 'orang', 'grapefruit', 'blood', 'sea', 'oliv', 'gin', 'wine', 'salt', 'red', 'belgian']"
5,Chocolate-Bourbon Truffles,20.0,0.0,1017971,http://cooking.nytimes.com/recipes/1017971-chocolate-bourbon-truffles,"['chocolate', 'heavy cream', 'salt', 'vanilla extract', 'bourbon', 'cocoa powder', 'pecans']","Set a stainless steel mixing bowl over a pan of boiling water to make a double boiler. Put chocolate, cream and salt in bowl and heat until chocolate is completely melted, about 15 minutes. Add vanilla and bourbon and whisk thoroughly, until mixture is smooth and shiny. Pour into a pie plate or baking dish, cover with plastic wrap and refrigerate until firm, about 1 hour. Use a melon baller or soup spoon to make rough 1/2-ounce spheres. Roll between cocoa-dusted palms, then in crushed nuts. Refrigerate, but dont serve them ice cold; remove from the refrigerator 10 minutes before serving. ","['set', 'mix', 'boil', 'make', 'put', 'melt', 'bake', 'use', 'make', 'crush', 'serv', 'remov', 'serv', 'cocoa', 'chocol', 'extract', 'vanilla', 'heavi', 'pecan', 'powder', 'bourbon', 'salt', 'cream']"
6,Pizza Dough,20.0,0.0,1017931,http://cooking.nytimes.com/recipes/1017931-pizza-dough,"['all-purpose flour', 'kosher salt', 'olive oil']","Put 1 3/4 cups/420 milliliters lukewarm water in a mixing bowl (use a stand mixer or food processor if you prefer). Sprinkle yeast over water and let dissolve, about 2 minutes. Add flour, salt and olive oil and mix well until flour is incorporated and dough forms, about 5 minutes. It may look a little rough or pockmarked. Lightly dust a work surface with flour. Turn dough out onto surface and knead lightly until it looks smooth, 3 to 4 minutes. Cut dough into 4 equal pieces, about 8 ounces/225 grams each. Wrap dough pieces individually in resealable zipper bags and refrigerate for several hours or, for best results,overnight; you can also freeze it for future use. (You can skip this rise in the refrigerator and use the dough right away, but this cool, slow rise makes it easier to stretch and gives the pizza a crisper texture and more nuanced flavor.) To use dough, form each piece into a smooth, firm ball, and place on a flour-dusted or parchment-lined baking sheet. (If you froze the dough, leave it at room temperature for several hours first, or defrost overnight in the refrigerator.) Flour lightly, cover loosely with plastic wrap and top with a kitchen towel. Leave to rise in awarm spot until doubled in size, about 30 minutes. Each dough ball with make a 10-inch diameter pizza. ","['put', 'let', 'dissolv', 'incorpor', 'look', 'pockmark', 'dust', 'dough', 'knead', 'look', 'freez', 'use', 'form', 'cover', 'leav', 'rise', 'doubl', 'make', 'oil', 'flour', 'oliv', 'kosher', 'all-purpos', 'salt']"
7,Takeout-Style Sesame Noodles,10.0,0.0,9558,http://cooking.nytimes.com/recipes/9558-takeout-style-sesame-noodles,"['egg noodles', 'sesame oil', 'soy sauce', 'rice vinegar', 'sesame paste', 'peanut butter', 'sugar', 'ginger', 'garlic', 'chili-garlic paste', 'cucumber', 'peanuts']","Bring a large pot of water to a boil. Add noodles and cook until barely tender, about 5 minutes; they should retain a hint of chewiness. Drain, rinse with cold water, drain again and toss with a splash of sesame oil. In a medium bowl, whisk together the remaining 2 tablespoons sesame oil, the soy sauce, rice vinegar, sesame paste, peanut butter, sugar, ginger, garlic and chili-garlic paste. Pour the sauce over the noodles and toss. Transfer to a serving bowl, and garnish with cucumber and peanuts. ","['bring', 'retain', 'toss', 'remain', 'pour', 'transfer', 'serv', 'butter', 'vinegar', 'oil', 'chili-garl', 'noodl', 'peanut', 'past', 'ginger', 'sugar', 'sauc', 'cucumb', 'sesam', 'soy', 'garlic', 'rice', 'egg']"
8,Salmon With Anchovy-Garlic Butter,25.0,0.0,1017329,http://cooking.nytimes.com/recipes/1017329-salmon-with-anchovy-garlic-butter,"['unsalted butter', 'anchovy', 'garlic', 'kosher salt', 'black pepper', 'salmon', 'capers', 'lemon', 'parsley']","Heat oven to 400 degrees. In a small bowl, mash together butter, anchovies, garlic, salt and pepper. In a large ovenproof skillet, melt about half the anchovy butter. Add fish, skin side down. Cook for 3 minutes over high heat to brown the skin, spooning some  pan drippings over the top of the fish as it cooks. Add capers to bottom of pan and transfer to oven. Roast until fish is just cooked through, 8 to 10 minutes. Remove pan from oven and add remaining anchovy butter to pan to melt. Place salmon on plates and spoon buttery pan sauce over the top. Squeeze the lemon half over the salmon and garnish with chopped parsley. Serve. ","['mash', 'melt', 'cook', 'brown', 'spoon', 'cook', 'bottom', 'cook', 'remov', 'add', 'remain', 'pan', 'melt', 'squeez', 'butter', 'caper', 'pepper', 'lemon', 'salmon', 'parsley', 'kosher', 'anchovi', 'garlic', 'black', 'salt', 'unsalt']"
9,Three-Cup Chicken,30.0,0.0,1017456,http://cooking.nytimes.com/recipes/1017456-three-cup-chicken,"['sesame oil', 'ginger', 'garlic', 'scallions', 'chicken thighs', 'rice wine', 'tea', 'pepper flakes', 'red pepper', 'red-pepper flakes', 'red peppers', 'peppers', 'red-pepper', 'pepper', 'sugar', 'brown sugar', 'sauce', 'soy sauce', 'leaves', 'basil', 'basil leaves', 'thai basil']","Heat a wok over high heat and add 2 tablespoons sesame oil. When the oil shimmers, add the ginger, garlic, scallions and peppers, and cook until fragrant, approximately 2 minutes. Scrape the aromatics to the sides of the wok, add remaining oil and allow to heat through. Add the chicken, and cook, stirring occasionally, until it is browned and crisping at the edges, approximately 5 to 7 minutes. Add sugar and stir to combine, then add the rice wine and soy sauce, and bring just to a boil. Lower the heat, then simmer until the sauce has reduced and started to thicken, approximately 15 minutes. Turn off the heat, add the basil and stir to combine. Serve with white rice. ","['add', 'add', 'scrape', 'add', 'remain', 'allow', 'heat', 'add', 'stir', 'brown', 'crisp', 'combin', 'add', 'bring', 'reduc', 'start', 'thicken', 'turn', 'add', 'combin', 'serv', 'brown', 'pepper', 'oil', 'thigh', 'red-pepp', 'sugar', 'tea', 'ginger', 'scallion', 'sauc', 'basil', 'leav', 'garlic', 'flake', 'soy', 'sesam', 'chicken', 'rice', 'thai', 'red', 'wine']"
